lhs_str,rhs_str,support,confidence,lift,lhs_len,rhs_len
"peak_low, sub3_low",total_low,0.18265162200282087,0.9487179487179487,2.8441480999620534,2,1
"peak_high, sub3_high",total_high,0.15726375176304655,0.9369747899159665,2.808943450530318,2,1
"sub2_high, sub3_high",total_high,0.1318758815232722,0.8990384615384615,2.6952146690518783,2,1
"sub1_low, sub3_low",total_low,0.16008462623413258,0.8937007874015748,2.679212931364552,2,1
"is_weekend, total_high",peak_high,0.11918194640338504,0.8802083333333333,2.638764094432699,2,1
"night_low, peak_low",total_low,0.114950634696756,0.8716577540106952,2.613130433799505,2,1
"sub2_med, sub3_low",total_low,0.12834978843441466,0.8584905660377359,2.573656707487335,2,1
"night_high, peak_high",total_high,0.1078984485190409,0.845303867403315,2.5341244904395364,2,1
"peak_low, sub1_low",total_low,0.1777150916784203,0.842809364548495,2.526646255665467,2,1
"sub2_high, total_high",peak_high,0.16995768688293372,0.8426573426573427,2.5261905113913574,2,1
"night_low, sub3_low",total_low,0.12693935119887165,0.8294930875576036,2.486725577498271,2,1
"sub1_low, total_low",peak_low,0.1777150916784203,0.8289473684210527,2.4850895738288643,2,1
"is_weekend, peak_high",total_high,0.11918194640338504,0.8284313725490196,2.4835426771131286,2,1
"sub1_low, sub2_med",peak_low,0.1156558533145275,0.8282828282828283,2.483097358361629,2,1
"sub2_low, total_low",peak_low,0.09449929478138223,0.8220858895705522,2.464519643575144,2,1
"sub1_high, sub3_high",total_high,0.12200282087447109,0.8199052132701422,2.4579822249832173,2,1
"sub1_high, total_high",peak_high,0.153737658674189,0.8195488721804511,2.4569139550779697,2,1
"sub1_low, sub2_med",total_low,0.11424541607898449,0.8181818181818181,2.452815683259658,2,1
"is_weekend, total_high",sub1_high,0.10930888575458392,0.8072916666666665,2.420168252290345,2,1
"peak_high, sub1_high",total_high,0.153737658674189,0.8014705882352942,2.402717323715956,2,1
"is_workday, sub3_low",total_low,0.18829337094499296,0.7970149253731345,2.389359755135528,2,1
"is_weekend, sub3_high",total_high,0.09026798307475317,0.7950310559006211,2.3834123409452026,2,1
"sub2_high, sub3_high",peak_high,0.11636107193229901,0.7932692307692308,2.378130590339893,2,1
"night_high, sub1_high",is_weekend,0.08251057827926657,0.6724137931034482,2.377762490325909,2,1
"peak_high, sub2_high",total_high,0.16995768688293372,0.7875816993464053,2.361080020450746,2,1
"peak_low, sub2_med",total_low,0.13963328631875882,0.7857142857142857,2.355481727574751,2,1
"night_low, sub1_low",total_low,0.1001410437235543,0.7845303867403315,2.35193253361055,2,1
"sub1_low, sub3_low",peak_low,0.14033850493653033,0.7834645669291339,2.348737327495797,2,1
"is_weekend, peak_high",sub1_high,0.11212976022566996,0.7794117647058824,2.336587489118269,2,1
"night_low, total_low",sub3_low,0.12693935119887165,0.7792207792207793,2.3360149364377696,2,1
"sub2_med, total_low",peak_low,0.13963328631875882,0.7764705882352941,2.3277701778385773,2,1
"sub3_low, total_low",peak_low,0.18265162200282087,0.7551020408163265,2.2637097122146956,2,1
"is_weekend, sub3_high",sub1_high,0.08533145275035262,0.7515527950310559,2.2530694785497616,2,1
"sub1_low, total_low",sub3_low,0.16008462623413258,0.7467105263157895,2.2385529097585404,2,1
"peak_low, total_low",sub3_low,0.18265162200282087,0.7442528735632183,2.2311851473840245,2,1
"is_weekend, sub2_high",peak_high,0.09802538787023977,0.7433155080213905,2.2283750325038727,2,1
"night_high, sub3_high",total_high,0.10366713681241185,0.7424242424242424,2.2257031199948747,2,1
"sub1_high, sub2_high",peak_high,0.11988716502115655,0.7391304347826086,2.215828660722493,2,1
"is_workday, peak_low",total_low,0.192524682651622,0.737837837837838,2.2119536026512776,2,1
total_low,peak_low,0.2454160789844852,0.7357293868921777,2.2056327074272897,1,1
peak_low,total_low,0.2454160789844852,0.7357293868921777,2.2056327074272897,1,1
"sub2_low, sub3_low",total_low,0.08039492242595205,0.7354838709677419,2.2048966787151336,2,1
"peak_low, sub3_low",sub1_low,0.14033850493653033,0.7289377289377289,2.180661813573206,2,1
sub3_low,total_low,0.24188998589562766,0.7251585623678648,2.1739425823205756,1,1
total_low,sub3_low,0.24188998589562766,0.7251585623678648,2.1739425823205756,1,1
"peak_low, total_low",sub1_low,0.1777150916784203,0.7241379310344828,2.1663029244871237,2,1
"night_high, sub2_high",total_high,0.09167842031029619,0.7222222222222222,2.1651397697909327,2,1
