lhs_str,rhs_str,support,confidence,lift,lhs_len,rhs_len
"peak_high, sub3_high",total_high,0.15726375176304655,0.9369747899159665,2.808943450530318,2,1
"sub2_high, sub3_high",total_high,0.1318758815232722,0.8990384615384615,2.6952146690518783,2,1
"night_high, peak_high",total_high,0.1078984485190409,0.845303867403315,2.5341244904395364,2,1
"is_weekend, peak_high",total_high,0.11918194640338504,0.8284313725490196,2.4835426771131286,2,1
"sub1_high, sub3_high",total_high,0.12200282087447109,0.8199052132701422,2.4579822249832173,2,1
"peak_high, sub1_high",total_high,0.153737658674189,0.8014705882352942,2.402717323715956,2,1
"is_weekend, sub3_high",total_high,0.09026798307475317,0.7950310559006211,2.3834123409452026,2,1
"peak_high, sub2_high",total_high,0.16995768688293372,0.7875816993464053,2.361080020450746,2,1
"night_high, sub3_high",total_high,0.10366713681241185,0.7424242424242424,2.2257031199948747,2,1
"night_high, sub2_high",total_high,0.09167842031029619,0.7222222222222222,2.1651397697909327,2,1
"sub1_high, sub2_high",total_high,0.11706629055007052,0.7217391304347827,2.163691515764317,2,1
peak_high,total_high,0.2404795486600846,0.7209302325581395,2.1612665322778897,1,1
"is_weekend, sub2_high",total_high,0.0923836389280677,0.7005347593582888,2.100123232071995,2,1
"night_high, sub1_high",total_high,0.08533145275035262,0.6954022988505747,2.0847367014167335,2,1
sub3_high,total_high,0.22637517630465445,0.678646934460888,2.034506031851034,1,1
"is_weekend, sub1_high",total_high,0.10930888575458392,0.670995670995671,2.0115684174880792,2,1
"is_workday, peak_high",total_high,0.12129760225669958,0.6394052044609665,1.9168638053396416,2,1
"is_workday, sub3_high",total_high,0.13610719322990128,0.6185897435897436,1.8544614300428255,2,1
sub2_high,total_high,0.2016925246826516,0.6046511627906976,1.8126751561040366,1,1
